natural_language,sql,mongodb,operation
Remove employees where hire_date is 2022-10-17,DELETE FROM employees WHERE hire_date = '2022-10-17';,db.employees.deleteMany({hire_date: '2022-10-17'}),DELETE
Show all products,SELECT * FROM products;,db.products.find({}),READ
Update products set stock_quantity to 5405 where category is Office Supplies,UPDATE products SET stock_quantity = '5405' WHERE category = 'Office Supplies';,"db.products.updateMany({category: 'Office Supplies'}, {$set: {stock_quantity: '5405'}})",UPDATE
Change age to 6222 for all employees,UPDATE employees SET age = '6222';,"db.employees.updateMany({}, {$set: {age: '6222'}})",UPDATE
Show all employees,SELECT * FROM employees;,db.employees.find({}),READ
"Insert a new product with product_id as 9255, product_name as Richard Montes, category as Software","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (9255, 'Richard Montes', 'Software', 13850.53, 473, 'Cannon-Caldwell');","db.products.insertOne({
  ""product_id"": 9255,
  ""product_name"": ""Richard Montes"",
  ""category"": ""Software"",
  ""price"": 13850.53,
  ""stock_quantity"": 473,
  ""supplier"": ""Cannon-Caldwell""
})",CREATE
Show all departments,SELECT * FROM departments;,db.departments.find({}),READ
Remove orders where customer_name is Michelle Carter,DELETE FROM orders WHERE customer_name = 'Michelle Carter';,db.orders.deleteMany({customer_name: 'Michelle Carter'}),DELETE
"Insert a new project with project_id as 5983, project_name as Kara Adams, start_date as 2022-08-22","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (5983, 'Kara Adams', '2022-08-22', '2023-09-17', 4036.24, 'Cancelled');","db.projects.insertOne({
  ""project_id"": 5983,
  ""project_name"": ""Kara Adams"",
  ""start_date"": ""2022-08-22"",
  ""end_date"": ""2023-09-17"",
  ""budget"": 4036.24,
  ""status"": ""Cancelled""
})",CREATE
Remove projects where project_id is 4921,DELETE FROM projects WHERE project_id = '4921';,db.projects.deleteMany({project_id: '4921'}),DELETE
"Insert a new project with project_id as 9758, project_name as Joe Martin, start_date as 2025-02-11","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (9758, 'Joe Martin', '2025-02-11', '2023-06-25', 51825.32, 'Cancelled');","db.projects.insertOne({
  ""project_id"": 9758,
  ""project_name"": ""Joe Martin"",
  ""start_date"": ""2025-02-11"",
  ""end_date"": ""2023-06-25"",
  ""budget"": 51825.32,
  ""status"": ""Cancelled""
})",CREATE
"Insert a new project with project_id as 6769, project_name as Dawn Ross, start_date as 2024-09-17","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (6769, 'Dawn Ross', '2024-09-17', '2023-10-13', 25822.36, 'Pending');","db.projects.insertOne({
  ""project_id"": 6769,
  ""project_name"": ""Dawn Ross"",
  ""start_date"": ""2024-09-17"",
  ""end_date"": ""2023-10-13"",
  ""budget"": 25822.36,
  ""status"": ""Pending""
})",CREATE
"Insert a new employee with employee_id as 6993, name as Dr. Eric Collins IV, email as dalton37@example.com","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (6993, 'Dr. Eric Collins IV', 'dalton37@example.com', 'Operations', 16730.9, '2022-07-31', 4273);","db.employees.insertOne({
  ""employee_id"": 6993,
  ""name"": ""Dr. Eric Collins IV"",
  ""email"": ""dalton37@example.com"",
  ""department"": ""Operations"",
  ""salary"": 16730.9,
  ""hire_date"": ""2022-07-31"",
  ""age"": 4273
})",CREATE
Change price to 97121.72 for all products,UPDATE products SET price = '97121.72';,"db.products.updateMany({}, {$set: {price: '97121.72'}})",UPDATE
Change salary to 40340.48 for all employees,UPDATE employees SET salary = '40340.48';,"db.employees.updateMany({}, {$set: {salary: '40340.48'}})",UPDATE
"Insert a new product with product_id as 1738, product_name as Danielle Allen, category as Office Supplies","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (1738, 'Danielle Allen', 'Office Supplies', 70521.79, 2759, 'Cantrell-Summers');","db.products.insertOne({
  ""product_id"": 1738,
  ""product_name"": ""Danielle Allen"",
  ""category"": ""Office Supplies"",
  ""price"": 70521.79,
  ""stock_quantity"": 2759,
  ""supplier"": ""Cantrell-Summers""
})",CREATE
"Insert a new project with project_id as 5464, project_name as Jeffrey Rodriguez, start_date as 2022-09-28","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (5464, 'Jeffrey Rodriguez', '2022-09-28', '2022-03-25', 31937.31, 'Completed');","db.projects.insertOne({
  ""project_id"": 5464,
  ""project_name"": ""Jeffrey Rodriguez"",
  ""start_date"": ""2022-09-28"",
  ""end_date"": ""2022-03-25"",
  ""budget"": 31937.31,
  ""status"": ""Completed""
})",CREATE
Remove orders where total_amount is 52352.96,DELETE FROM orders WHERE total_amount = '52352.96';,db.orders.deleteMany({total_amount: '52352.96'}),DELETE
Count all employees,SELECT COUNT(*) FROM employees;,db.employees.countDocuments({}),READ
"Insert a new product with product_id as 4697, product_name as Danny Petty, category as Hardware","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (4697, 'Danny Petty', 'Hardware', 61814.75, 2298, 'Barker-Horton');","db.products.insertOne({
  ""product_id"": 4697,
  ""product_name"": ""Danny Petty"",
  ""category"": ""Hardware"",
  ""price"": 61814.75,
  ""stock_quantity"": 2298,
  ""supplier"": ""Barker-Horton""
})",CREATE
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
Change price to 47159.74 for all products,UPDATE products SET price = '47159.74';,"db.products.updateMany({}, {$set: {price: '47159.74'}})",UPDATE
Remove employees where department is Finance,DELETE FROM employees WHERE department = 'Finance';,db.employees.deleteMany({department: 'Finance'}),DELETE
Increase employee_id by 4138 in employees where department equals Finance,UPDATE employees SET employee_id = employee_id + 4138 WHERE department = 'Finance';,"db.employees.updateMany({department: 'Finance'}, {$inc: {employee_id: 4138}})",UPDATE
Get top 35 orders ordered by order_id,SELECT * FROM orders ORDER BY order_id DESC LIMIT 35;,db.orders.find({}).sort({order_id: -1}).limit(35),READ
"Insert a new order with order_id as 9053, customer_name as Jessica Frazier, product_name as James Harrison","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (9053, 'Jessica Frazier', 'James Harrison', 5563, '2025-01-22', 60456.5);","db.orders.insertOne({
  ""order_id"": 9053,
  ""customer_name"": ""Jessica Frazier"",
  ""product_name"": ""James Harrison"",
  ""quantity"": 5563,
  ""order_date"": ""2025-01-22"",
  ""total_amount"": 60456.5
})",CREATE
"Insert a new order with order_id as 7620, customer_name as Heather Kennedy, product_name as Jennifer Johnson","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (7620, 'Heather Kennedy', 'Jennifer Johnson', 1334, '2023-01-23', 7551.57);","db.orders.insertOne({
  ""order_id"": 7620,
  ""customer_name"": ""Heather Kennedy"",
  ""product_name"": ""Jennifer Johnson"",
  ""quantity"": 1334,
  ""order_date"": ""2023-01-23"",
  ""total_amount"": 7551.57
})",CREATE
"Insert a new project with project_id as 5502, project_name as Renee Higgins, start_date as 2021-11-19","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (5502, 'Renee Higgins', '2021-11-19', '2025-07-20', 36575.41, 'Active');","db.projects.insertOne({
  ""project_id"": 5502,
  ""project_name"": ""Renee Higgins"",
  ""start_date"": ""2021-11-19"",
  ""end_date"": ""2025-07-20"",
  ""budget"": 36575.41,
  ""status"": ""Active""
})",CREATE
Delete all projects,DELETE FROM projects;,db.projects.deleteMany({}),DELETE
"Insert a new department with department_id as 4254, department_name as Gary Miller, manager_id as 5979","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (4254, 'Gary Miller', 5979, 51895.69, 'Barbarahaven');","db.departments.insertOne({
  ""department_id"": 4254,
  ""department_name"": ""Gary Miller"",
  ""manager_id"": 5979,
  ""budget"": 51895.69,
  ""location"": ""Barbarahaven""
})",CREATE
"Insert a new product with product_id as 9505, product_name as Michael Davis, category as Hardware","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (9505, 'Michael Davis', 'Hardware', 58425.02, 7099, 'Richard-Larsen');","db.products.insertOne({
  ""product_id"": 9505,
  ""product_name"": ""Michael Davis"",
  ""category"": ""Hardware"",
  ""price"": 58425.02,
  ""stock_quantity"": 7099,
  ""supplier"": ""Richard-Larsen""
})",CREATE
Get top 35 products ordered by price,SELECT * FROM products ORDER BY price DESC LIMIT 35;,db.products.find({}).sort({price: -1}).limit(35),READ
"Insert a new order with order_id as 8527, customer_name as Kevin Terrell, product_name as Benjamin Perez","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (8527, 'Kevin Terrell', 'Benjamin Perez', 22, '2024-05-17', 8016.43);","db.orders.insertOne({
  ""order_id"": 8527,
  ""customer_name"": ""Kevin Terrell"",
  ""product_name"": ""Benjamin Perez"",
  ""quantity"": 22,
  ""order_date"": ""2024-05-17"",
  ""total_amount"": 8016.43
})",CREATE
Delete projects with budget less than 10060,DELETE FROM projects WHERE budget < 10060;,db.projects.deleteMany({budget: {$lt: 10060}}),DELETE
Delete departments with budget less than 42998,DELETE FROM departments WHERE budget < 42998;,db.departments.deleteMany({budget: {$lt: 42998}}),DELETE
Increase quantity by 2329 in orders where customer_name equals Lisa Neal,UPDATE orders SET quantity = quantity + 2329 WHERE customer_name = 'Lisa Neal';,"db.orders.updateMany({customer_name: 'Lisa Neal'}, {$inc: {quantity: 2329}})",UPDATE
Delete projects with project_id less than 34635,DELETE FROM projects WHERE project_id < 34635;,db.projects.deleteMany({project_id: {$lt: 34635}}),DELETE
Delete all employees,DELETE FROM employees;,db.employees.deleteMany({}),DELETE
Delete employees with salary less than 49876,DELETE FROM employees WHERE salary < 49876;,db.employees.deleteMany({salary: {$lt: 49876}}),DELETE
Update projects set start_date to 2021-04-05 where end_date is 2025-09-21,UPDATE projects SET start_date = '2021-04-05' WHERE end_date = '2025-09-21';,"db.projects.updateMany({end_date: '2025-09-21'}, {$set: {start_date: '2021-04-05'}})",UPDATE
Remove orders where order_id is 8723,DELETE FROM orders WHERE order_id = '8723';,db.orders.deleteMany({order_id: '8723'}),DELETE
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
Increase price by 2119 in products where stock_quantity equals 4329,UPDATE products SET price = price + 2119 WHERE stock_quantity = '4329';,"db.products.updateMany({stock_quantity: '4329'}, {$inc: {price: 2119}})",UPDATE
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
"Insert a new product with product_id as 694, product_name as Timothy Montes, category as Office Supplies","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (694, 'Timothy Montes', 'Office Supplies', 62880.83, 3550, 'Robinson PLC');","db.products.insertOne({
  ""product_id"": 694,
  ""product_name"": ""Timothy Montes"",
  ""category"": ""Office Supplies"",
  ""price"": 62880.83,
  ""stock_quantity"": 3550,
  ""supplier"": ""Robinson PLC""
})",CREATE
Delete all products,DELETE FROM products;,db.products.deleteMany({}),DELETE
Update orders set order_id to 2403 where total_amount is 87425.5,UPDATE orders SET order_id = '2403' WHERE total_amount = '87425.5';,"db.orders.updateMany({total_amount: '87425.5'}, {$set: {order_id: '2403'}})",UPDATE
Count all departments,SELECT COUNT(*) FROM departments;,db.departments.countDocuments({}),READ
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
Find departments where department_name contains send,SELECT * FROM departments WHERE department_name LIKE '%send%';,"db.departments.find({department_name: {$regex: 'send', $options: 'i'}})",READ
Delete orders with order_id less than 33985,DELETE FROM orders WHERE order_id < 33985;,db.orders.deleteMany({order_id: {$lt: 33985}}),DELETE
Change order_id to 3006 for all orders,UPDATE orders SET order_id = '3006';,"db.orders.updateMany({}, {$set: {order_id: '3006'}})",UPDATE
Show average manager_id from departments,SELECT AVG(manager_id) FROM departments;,"db.departments.aggregate([{$group: {_id: null, avg: {$avg: '$manager_id'}}}])",READ
Remove projects where project_id is 2321,DELETE FROM projects WHERE project_id = '2321';,db.projects.deleteMany({project_id: '2321'}),DELETE
Find products where product_name contains season,SELECT * FROM products WHERE product_name LIKE '%season%';,"db.products.find({product_name: {$regex: 'season', $options: 'i'}})",READ
Update products set product_name to Amy Gregory where price is 24773.34,UPDATE products SET product_name = 'Amy Gregory' WHERE price = '24773.34';,"db.products.updateMany({price: '24773.34'}, {$set: {product_name: 'Amy Gregory'}})",UPDATE
Count all orders,SELECT COUNT(*) FROM orders;,db.orders.countDocuments({}),READ
Change department_id to 1701 for all departments,UPDATE departments SET department_id = '1701';,"db.departments.updateMany({}, {$set: {department_id: '1701'}})",UPDATE
Show average product_id from products,SELECT AVG(product_id) FROM products;,"db.products.aggregate([{$group: {_id: null, avg: {$avg: '$product_id'}}}])",READ
Show average stock_quantity from products,SELECT AVG(stock_quantity) FROM products;,"db.products.aggregate([{$group: {_id: null, avg: {$avg: '$stock_quantity'}}}])",READ
Update products set product_name to Amanda Sexton where product_id is 8381,UPDATE products SET product_name = 'Amanda Sexton' WHERE product_id = '8381';,"db.products.updateMany({product_id: '8381'}, {$set: {product_name: 'Amanda Sexton'}})",UPDATE
Show all projects,SELECT * FROM projects;,db.projects.find({}),READ
Show all orders,SELECT * FROM orders;,db.orders.find({}),READ
Increase stock_quantity by 734 in products where category equals Hardware,UPDATE products SET stock_quantity = stock_quantity + 734 WHERE category = 'Hardware';,"db.products.updateMany({category: 'Hardware'}, {$inc: {stock_quantity: 734}})",UPDATE
Increase product_id by 1925 in products where product_name equals Susan Hall,UPDATE products SET product_id = product_id + 1925 WHERE product_name = 'Susan Hall';,"db.products.updateMany({product_name: 'Susan Hall'}, {$inc: {product_id: 1925}})",UPDATE
Delete orders with total_amount less than 27227,DELETE FROM orders WHERE total_amount < 27227;,db.orders.deleteMany({total_amount: {$lt: 27227}}),DELETE
Increase project_id by 104 in projects where budget equals 62865.23,UPDATE projects SET project_id = project_id + 104 WHERE budget = '62865.23';,"db.projects.updateMany({budget: '62865.23'}, {$inc: {project_id: 104}})",UPDATE
Update orders set order_id to 5272 where product_name is Matthew Mccarty,UPDATE orders SET order_id = '5272' WHERE product_name = 'Matthew Mccarty';,"db.orders.updateMany({product_name: 'Matthew Mccarty'}, {$set: {order_id: '5272'}})",UPDATE
Show products with product_name greater than 34769,SELECT * FROM products WHERE product_name > 34769;,db.products.find({product_name: {$gt: 34769}}),READ
"Insert a new order with order_id as 1190, customer_name as Kristin Carroll, product_name as Adam Jones","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (1190, 'Kristin Carroll', 'Adam Jones', 5236, '2022-12-22', 40756.87);","db.orders.insertOne({
  ""order_id"": 1190,
  ""customer_name"": ""Kristin Carroll"",
  ""product_name"": ""Adam Jones"",
  ""quantity"": 5236,
  ""order_date"": ""2022-12-22"",
  ""total_amount"": 40756.87
})",CREATE
Delete all employees,DELETE FROM employees;,db.employees.deleteMany({}),DELETE
Find products where product_id contains box,SELECT * FROM products WHERE product_id LIKE '%box%';,"db.products.find({product_id: {$regex: 'box', $options: 'i'}})",READ
"Insert a new order with order_id as 4343, customer_name as Adam Smith, product_name as James Garcia","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (4343, 'Adam Smith', 'James Garcia', 7735, '2021-09-16', 31197.08);","db.orders.insertOne({
  ""order_id"": 4343,
  ""customer_name"": ""Adam Smith"",
  ""product_name"": ""James Garcia"",
  ""quantity"": 7735,
  ""order_date"": ""2021-09-16"",
  ""total_amount"": 31197.08
})",CREATE
Delete orders with order_id less than 49463,DELETE FROM orders WHERE order_id < 49463;,db.orders.deleteMany({order_id: {$lt: 49463}}),DELETE
Find departments where location is Yoderton,SELECT * FROM departments WHERE location = 'Yoderton';,db.departments.find({location: 'Yoderton'}),READ
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
Get top 46 employees ordered by employee_id,SELECT * FROM employees ORDER BY employee_id DESC LIMIT 46;,db.employees.find({}).sort({employee_id: -1}).limit(46),READ
Delete products with price less than 21469,DELETE FROM products WHERE price < 21469;,db.products.deleteMany({price: {$lt: 21469}}),DELETE
Update orders set quantity to 2253 where quantity is 6881,UPDATE orders SET quantity = '2253' WHERE quantity = '6881';,"db.orders.updateMany({quantity: '6881'}, {$set: {quantity: '2253'}})",UPDATE
Find products where supplier is Melendez Ltd,SELECT * FROM products WHERE supplier = 'Melendez Ltd';,db.products.find({supplier: 'Melendez Ltd'}),READ
Change total_amount to 31446.61 for all orders,UPDATE orders SET total_amount = '31446.61';,"db.orders.updateMany({}, {$set: {total_amount: '31446.61'}})",UPDATE
Increase quantity by 3949 in orders where product_name equals Matthew Soto,UPDATE orders SET quantity = quantity + 3949 WHERE product_name = 'Matthew Soto';,"db.orders.updateMany({product_name: 'Matthew Soto'}, {$inc: {quantity: 3949}})",UPDATE
"Insert a new order with order_id as 535, customer_name as Melinda French DVM, product_name as Jim Duran","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (535, 'Melinda French DVM', 'Jim Duran', 6378, '2023-08-14', 94340.39);","db.orders.insertOne({
  ""order_id"": 535,
  ""customer_name"": ""Melinda French DVM"",
  ""product_name"": ""Jim Duran"",
  ""quantity"": 6378,
  ""order_date"": ""2023-08-14"",
  ""total_amount"": 94340.39
})",CREATE
Increase manager_id by 1004 in departments where department_id equals 8825,UPDATE departments SET manager_id = manager_id + 1004 WHERE department_id = '8825';,"db.departments.updateMany({department_id: '8825'}, {$inc: {manager_id: 1004}})",UPDATE
Delete projects with project_id less than 24883,DELETE FROM projects WHERE project_id < 24883;,db.projects.deleteMany({project_id: {$lt: 24883}}),DELETE
"Insert a new project with project_id as 7054, project_name as James Campbell, start_date as 2026-01-29","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (7054, 'James Campbell', '2026-01-29', '2022-09-25', 57971.32, 'Active');","db.projects.insertOne({
  ""project_id"": 7054,
  ""project_name"": ""James Campbell"",
  ""start_date"": ""2026-01-29"",
  ""end_date"": ""2022-09-25"",
  ""budget"": 57971.32,
  ""status"": ""Active""
})",CREATE
Update projects set project_name to Sharon Adams where start_date is 2022-11-29,UPDATE projects SET project_name = 'Sharon Adams' WHERE start_date = '2022-11-29';,"db.projects.updateMany({start_date: '2022-11-29'}, {$set: {project_name: 'Sharon Adams'}})",UPDATE
Count all orders,SELECT COUNT(*) FROM orders;,db.orders.countDocuments({}),READ
Find orders where total_amount is 23071.39,SELECT * FROM orders WHERE total_amount = '23071.39';,db.orders.find({total_amount: '23071.39'}),READ
"Insert a new department with department_id as 7327, department_name as Jessica Tucker, manager_id as 2625","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (7327, 'Jessica Tucker', 2625, 53846.98, 'Nicoleton');","db.departments.insertOne({
  ""department_id"": 7327,
  ""department_name"": ""Jessica Tucker"",
  ""manager_id"": 2625,
  ""budget"": 53846.98,
  ""location"": ""Nicoleton""
})",CREATE
Show departments with budget greater than 73823,SELECT * FROM departments WHERE budget > 73823;,db.departments.find({budget: {$gt: 73823}}),READ
"Insert a new order with order_id as 1097, customer_name as Michelle Cole, product_name as Nathan Key","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (1097, 'Michelle Cole', 'Nathan Key', 8688, '2024-07-01', 26184.7);","db.orders.insertOne({
  ""order_id"": 1097,
  ""customer_name"": ""Michelle Cole"",
  ""product_name"": ""Nathan Key"",
  ""quantity"": 8688,
  ""order_date"": ""2024-07-01"",
  ""total_amount"": 26184.7
})",CREATE
Show all orders,SELECT * FROM orders;,db.orders.find({}),READ
Delete projects with budget less than 23606,DELETE FROM projects WHERE budget < 23606;,db.projects.deleteMany({budget: {$lt: 23606}}),DELETE
"Insert a new order with order_id as 4391, customer_name as Ryan Rios, product_name as Joseph Martin","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (4391, 'Ryan Rios', 'Joseph Martin', 6485, '2025-06-22', 32050.36);","db.orders.insertOne({
  ""order_id"": 4391,
  ""customer_name"": ""Ryan Rios"",
  ""product_name"": ""Joseph Martin"",
  ""quantity"": 6485,
  ""order_date"": ""2025-06-22"",
  ""total_amount"": 32050.36
})",CREATE
Increase age by 1667 in employees where employee_id equals 1567,UPDATE employees SET age = age + 1667 WHERE employee_id = '1567';,"db.employees.updateMany({employee_id: '1567'}, {$inc: {age: 1667}})",UPDATE
Remove projects where status is Completed,DELETE FROM projects WHERE status = 'Completed';,db.projects.deleteMany({status: 'Completed'}),DELETE
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
"Insert a new department with department_id as 5377, department_name as Kristin Delacruz, manager_id as 6069","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (5377, 'Kristin Delacruz', 6069, 43172.6, 'North Bradleyfort');","db.departments.insertOne({
  ""department_id"": 5377,
  ""department_name"": ""Kristin Delacruz"",
  ""manager_id"": 6069,
  ""budget"": 43172.6,
  ""location"": ""North Bradleyfort""
})",CREATE
Update employees set salary to 60734.37 where email is millsjohn@example.com,UPDATE employees SET salary = '60734.37' WHERE email = 'millsjohn@example.com';,"db.employees.updateMany({email: 'millsjohn@example.com'}, {$set: {salary: '60734.37'}})",UPDATE
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
"Insert a new order with order_id as 9446, customer_name as Sara Sanders, product_name as Ricky Garcia","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (9446, 'Sara Sanders', 'Ricky Garcia', 6, '2022-09-11', 1972.68);","db.orders.insertOne({
  ""order_id"": 9446,
  ""customer_name"": ""Sara Sanders"",
  ""product_name"": ""Ricky Garcia"",
  ""quantity"": 6,
  ""order_date"": ""2022-09-11"",
  ""total_amount"": 1972.68
})",CREATE
Get all product_name from orders,SELECT product_name FROM orders;,"db.orders.find({}, {product_name: 1})",READ
"Insert a new product with product_id as 4255, product_name as William Martin, category as Hardware","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (4255, 'William Martin', 'Hardware', 69473.43, 5262, 'Tapia-Phillips');","db.products.insertOne({
  ""product_id"": 4255,
  ""product_name"": ""William Martin"",
  ""category"": ""Hardware"",
  ""price"": 69473.43,
  ""stock_quantity"": 5262,
  ""supplier"": ""Tapia-Phillips""
})",CREATE
"Insert a new department with department_id as 4875, department_name as Brittney Williams, manager_id as 4278","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (4875, 'Brittney Williams', 4278, 1381.1, 'Christopherview');","db.departments.insertOne({
  ""department_id"": 4875,
  ""department_name"": ""Brittney Williams"",
  ""manager_id"": 4278,
  ""budget"": 1381.1,
  ""location"": ""Christopherview""
})",CREATE
Change order_id to 2638 for all orders,UPDATE orders SET order_id = '2638';,"db.orders.updateMany({}, {$set: {order_id: '2638'}})",UPDATE
"Insert a new department with department_id as 477, department_name as Matthew Evans, manager_id as 9978","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (477, 'Matthew Evans', 9978, 49676.63, 'Ericchester');","db.departments.insertOne({
  ""department_id"": 477,
  ""department_name"": ""Matthew Evans"",
  ""manager_id"": 9978,
  ""budget"": 49676.63,
  ""location"": ""Ericchester""
})",CREATE
Get all price from products,SELECT price FROM products;,"db.products.find({}, {price: 1})",READ
Show projects with budget greater than 68632,SELECT * FROM projects WHERE budget > 68632;,db.projects.find({budget: {$gt: 68632}}),READ
Find projects where project_id contains fly,SELECT * FROM projects WHERE project_id LIKE '%fly%';,"db.projects.find({project_id: {$regex: 'fly', $options: 'i'}})",READ
Increase employee_id by 1583 in employees where salary equals 40228.44,UPDATE employees SET employee_id = employee_id + 1583 WHERE salary = '40228.44';,"db.employees.updateMany({salary: '40228.44'}, {$inc: {employee_id: 1583}})",UPDATE
"Insert a new employee with employee_id as 9733, name as Joann Juarez, email as dnicholson@example.com","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (9733, 'Joann Juarez', 'dnicholson@example.com', 'HR', 20952.96, '2021-03-20', 6217);","db.employees.insertOne({
  ""employee_id"": 9733,
  ""name"": ""Joann Juarez"",
  ""email"": ""dnicholson@example.com"",
  ""department"": ""HR"",
  ""salary"": 20952.96,
  ""hire_date"": ""2021-03-20"",
  ""age"": 6217
})",CREATE
Delete all projects,DELETE FROM projects;,db.projects.deleteMany({}),DELETE
Delete departments with budget less than 49109,DELETE FROM departments WHERE budget < 49109;,db.departments.deleteMany({budget: {$lt: 49109}}),DELETE
Delete projects with budget less than 19608,DELETE FROM projects WHERE budget < 19608;,db.projects.deleteMany({budget: {$lt: 19608}}),DELETE
Update orders set customer_name to William Garcia where customer_name is Joy Wagner,UPDATE orders SET customer_name = 'William Garcia' WHERE customer_name = 'Joy Wagner';,"db.orders.updateMany({customer_name: 'Joy Wagner'}, {$set: {customer_name: 'William Garcia'}})",UPDATE
Increase project_id by 3224 in projects where start_date equals 2024-02-01,UPDATE projects SET project_id = project_id + 3224 WHERE start_date = '2024-02-01';,"db.projects.updateMany({start_date: '2024-02-01'}, {$inc: {project_id: 3224}})",UPDATE
Change product_name to Melissa Bryant for all products,UPDATE products SET product_name = 'Melissa Bryant';,"db.products.updateMany({}, {$set: {product_name: 'Melissa Bryant'}})",UPDATE
Increase order_id by 2561 in orders where customer_name equals Brittney Davis,UPDATE orders SET order_id = order_id + 2561 WHERE customer_name = 'Brittney Davis';,"db.orders.updateMany({customer_name: 'Brittney Davis'}, {$inc: {order_id: 2561}})",UPDATE
"Insert a new department with department_id as 4038, department_name as Jennifer Ryan, manager_id as 4270","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (4038, 'Jennifer Ryan', 4270, 17089.11, 'Sandrabury');","db.departments.insertOne({
  ""department_id"": 4038,
  ""department_name"": ""Jennifer Ryan"",
  ""manager_id"": 4270,
  ""budget"": 17089.11,
  ""location"": ""Sandrabury""
})",CREATE
Delete all projects,DELETE FROM projects;,db.projects.deleteMany({}),DELETE
Delete all products,DELETE FROM products;,db.products.deleteMany({}),DELETE
"Insert a new product with product_id as 9903, product_name as Shannon Howard, category as Hardware","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (9903, 'Shannon Howard', 'Hardware', 7786.61, 6067, 'May Ltd');","db.products.insertOne({
  ""product_id"": 9903,
  ""product_name"": ""Shannon Howard"",
  ""category"": ""Hardware"",
  ""price"": 7786.61,
  ""stock_quantity"": 6067,
  ""supplier"": ""May Ltd""
})",CREATE
Update projects set project_id to 1327 where end_date is 2021-09-23,UPDATE projects SET project_id = '1327' WHERE end_date = '2021-09-23';,"db.projects.updateMany({end_date: '2021-09-23'}, {$set: {project_id: '1327'}})",UPDATE
Delete employees with employee_id less than 49754,DELETE FROM employees WHERE employee_id < 49754;,db.employees.deleteMany({employee_id: {$lt: 49754}}),DELETE
"Insert a new department with department_id as 2712, department_name as Darren Gonzalez, manager_id as 5583","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (2712, 'Darren Gonzalez', 5583, 58242.83, 'Watkinstown');","db.departments.insertOne({
  ""department_id"": 2712,
  ""department_name"": ""Darren Gonzalez"",
  ""manager_id"": 5583,
  ""budget"": 58242.83,
  ""location"": ""Watkinstown""
})",CREATE
Count all products,SELECT COUNT(*) FROM products;,db.products.countDocuments({}),READ
Update employees set employee_id to 1342 where hire_date is 2025-05-09,UPDATE employees SET employee_id = '1342' WHERE hire_date = '2025-05-09';,"db.employees.updateMany({hire_date: '2025-05-09'}, {$set: {employee_id: '1342'}})",UPDATE
Find departments where department_name contains table,SELECT * FROM departments WHERE department_name LIKE '%table%';,"db.departments.find({department_name: {$regex: 'table', $options: 'i'}})",READ
